Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7eYzn1CuiJK6VvUhf8zA6k,WHERE IS MY HUSBAND!,THIS MUSIC MAY CONTAIN HOPE.,RAYE,2026-03-27,197142,89,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:04:00Z,,Human Re Sources,0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
spotify:track:3wmzZRtm6hwqXX3KndOtSI,Looping the Rooms (feat. HATSUNE MIKU),Looping the Rooms / Lambent Aria,rusino;Hatsune Miku,2025-11-29,134071,72,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:04:27Z,vocaloid,rusino,0.571,0.989,8,-4.217,1,0.0455,0.0339,0.112,0.0922,0.961,162.046,4
spotify:track:4TfmXkmAqtiq1ixe5PT5kX,Carnival,Carnival,John Michael Howell,2025-11-28,104427,77,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:04:41Z,pop singer-songwriter,John Michael Howell,0.845,0.575,2,-7.673,0,0.036,0.303,0,0.102,0.717,130.987,4
spotify:track:02qqbVSYkDc6FTClN5gwH5,two,bbno$,bbno$,2025-10-17,135200,75,true,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:04:50Z,,bbno$$,0.857,0.895,1,-4.971,1,0.063,0.00751,0.00000754,0.324,0.92,128.06,4
spotify:track:7o9qVPLe7MI7XhdAS1PkrN,"Zoo - From ""Zootopia 2""","Zoo (From ""Zootopia 2"")",Disney;Shakira,2025-10-10,190822,78,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:04:57Z,latin pop,Walt Disney Records,0.856,0.8,2,-5.892,1,0.0839,0.332,0,0.167,0.903,129.033,4
spotify:track:53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,The Life of a Showgirl,Taylor Swift,2025-10-03,226073,96,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:05:06Z,,Taylor Swift,0.726,0.598,5,-5.179,1,0.0291,0.265,0,0.102,0.519,123.921,4
spotify:track:7qjZnBKE73H4Oxkopwulqe,back to friends,I Barely Know Her,sombr,2025-08-22,199032,93,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:05:12Z,,Warner Records,0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:3MKhTroJs5GF9H7LqN9fiw,Devil in Disguise,Devil in Disguise,Marino,2025-07-18,104431,81,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:05:17Z,,broke,0.899,0.403,1,-9.674,0,0.0642,0.508,0.0000287,0.111,0.617,109.982,4
spotify:track:1A1XuDIYZxSKrQ6mzkWwAT,Lumière,Clair Obscur: Expedition 33 (Original Soundtrack),Lorien Testard;Alice Duport-Percier,2025-04-24,222000,70,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:05:42Z,soundtrack,Laced Records,0.426,0.185,11,-11.717,0,0.0339,0.95,0.00000502,0.213,0.459,83.424,4
spotify:track:49mdbuKOwG31eUYtAunzf4,bad feeling (oompa loompa),SideQuest,Jagwar Twin;sir lucius,2025-03-28,133754,62,true,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:06:23Z,,Big Loud Records,0.706,0.812,11,-4.066,0,0.126,0.0782,0,0.0692,0.914,189.861,4
spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,MAYHEM,Lady Gaga;Bruno Mars,2025-03-07,251667,88,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:06:32Z,"art pop,pop",Interscope Records,0.519,0.601,6,-7.727,0,0.0317,0.289,0,0.126,0.498,157.964,3
spotify:track:5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Abracadabra,Lady Gaga,2025-02-03,223398,79,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:07:05Z,"art pop,pop",Interscope Records,0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
spotify:track:0ddcSXm5VzpmviExjNj8X5,Original Me,Stars of Lyra+,Sān-Z;HOYO-MiX,2025-01-23,223125,42,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:07:43Z,soundtrack,miHoYo,0.79,0.899,9,-3.891,0,0.0461,0.32,0.00000254,0.245,0.774,127.947,4
spotify:track:37ozVDmL5b6NNVWFYgAlkz,Come Play (from the series Arcane League of Legends),Come Play (from the series Arcane League of Legends),Stray Kids;Young Miko;Arcane;Tom Morello;League of Legends,2024-10-16,161666,70,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:07:51Z,"k-pop,noise music,trap latino,score",Riot Games,0.565,0.867,7,-5.465,1,0.0964,0.00304,0,0.257,0.424,95.004,4
spotify:track:4SeaNxK99KVpGfvNhi4F9S,Одного,Одного,Татьяна Куртукова,2024-09-10,192513,69,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:07:59Z,,Gamma Music,0.678,0.871,1,-5.384,0,0.0558,0.0774,0,0.0815,0.526,96.996,4
spotify:track:6G9YlbU3ByPJQvOFDRdwyM,her,her,JVKE,2024-08-30,171757,82,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:08:14Z,,JVKE,0.434,0.589,11,-5.529,1,0.0342,0.932,0.00022,0.496,0.582,143.728,4
spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Espresso,Short n' Sweet,Sabrina Carpenter,2024-08-23,175459,88,true,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:08:53Z,pop,Island Records,0.699,0.776,0,-5.282,1,0.0293,0.131,0.00000536,0.205,0.708,103.963,4
spotify:track:3NuK5xMlSlB6K2Qp16zf3h,Solo (feat. Demi Lovato),What Is Love? (Deluxe Edition),Clean Bandit;Demi Lovato,2018-11-30,222706,77,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:09:24Z,,Atlantic Records UK,0.74,0.622,11,-4.608,0,0.0446,0.0357,0.0000485,0.356,0.556,104.966,4
spotify:track:1KQc37jezhunxnOPhvdwSG,Numb Little Bug,Egg in the Backseat,Em Beihold,2022-07-22,169237,71,false,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:09:29Z,,"Republic Records/Moon Projects, LLC.",0.742,0.527,8,-6.892,0,0.0769,0.327,0,0.25,0.638,84.974,4
spotify:track:37adYGaYaAWTGhBaOzX4Fh,Take A Slice,How To Be A Human Being,Glass Animals,2016-08-26,229717,77,true,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:09:34Z,,Wolf Tone,0.623,0.661,9,-7,1,0.1,0.0212,0.000229,0.267,0.63,151.97,4
spotify:track:0yNiaePZow0ycdrmLV0J7y,1985,THE INSIDE OUTTAKES,Bo Burnham,2022-06-02,146654,70,true,313jlspoc2siyfept6ntupg4dclq,2026-04-28T07:09:36Z,comedy,Bo Burnham,0.646,0.724,4,-7.466,0,0.0475,0.0432,0,0.333,0.894,155.85,4
